,frequency
0,0.159714466
1,0.178875876
2,0.183646805
3,0.169824315
4,0.170226598
5,0.182643182
6,0.17771033
7,0.167858321
8,0.174846305
9,0.173393592
10,0.184438745
11,0.179737728
12,0.170543067
13,0.157574359
14,0.162025855
15,0.161509293
16,0.171438294
17,0.183636288
18,0.179699026
19,0.171998545
20,0.180031225
21,0.18731572
22,0.159507532
23,0.177529179
24,0.178746211
25,0.166993061
26,0.176019723
27,0.173995715
28,0.158804072
29,0.179548459
30,0.158213432
31,0.191655301
32,0.169340226
33,0.175126967
34,0.17129171
35,0.169434252
36,0.181754335
37,0.17536239
38,0.156666169
39,0.180801935
40,0.311109977
41,0.157756733
42,0.178218634
43,0.182937194
44,0.157776663
45,0.167358435
46,0.163944793
47,0.158518046
48,0.166912388
49,0.1567605
50,0.169352369
51,0.178800216
52,0.171419279
53,0.177447391
54,0.16844437
55,0.181878385
56,0.180886883
57,0.175655299
58,0.163289071
59,0.18551455
60,0.16346371
61,0.180084031
62,0.16636783
63,0.160871172
64,0.175999628
65,0.160086968
66,0.164792529
67,0.184021752
68,0.161214531
69,0.144017646
70,0.171892059
71,0.162595981
72,0.193388703
73,0.178465035
74,0.171920791
75,0.175043284
76,0.168831861
77,0.188883677
78,0.155820166
79,0.169397786
80,0.168964707
81,0.160081462
82,0.16647971
83,0.170292639
84,0.170828024
85,0.182641136
86,0.177985315
87,0.158804466
88,0.169300981
89,0.177852778
90,0.174044673
91,0.156804894
92,0.173918251
93,0.165019281
94,0.182919573
95,0.164651307
96,0.178173423
97,0.15417088
98,0.173234009
99,0.173602645
100,0.178288562
101,0.166825513
102,0.17253544
103,0.174237941
104,0.166538727
105,0.2511937383
106,0.176186534
107,0.170228472
108,0.176529545
109,0.166841129
110,0.176904574
111,0.164860636
112,0.182186119
113,0.17797263
114,0.183551804
115,0.155189355
116,0.2701728929
117,0.173932321
118,0.179677558
119,0.176034757
120,0.16681243
121,0.158180687
122,0.165633927
123,0.178656608
124,0.181999029
125,0.178396665
126,0.155458203
127,0.181582661
128,0.181869623
129,0.164509603
130,0.184763002
131,0.176613822
132,0.164288928
133,0.179049718
134,0.178517619
135,0.171076447
136,0.166295061
137,0.16790538
138,0.166790591
139,0.157715667
140,0.156042724
141,0.162749519
142,0.159800369
143,0.165919819
144,0.163455741
145,0.305412232
146,0.154293443
147,0.171539879
148,0.189733146
149,0.154276415
150,0.155166535
151,0.157047449
152,0.17278607
153,0.17718504
154,0.164892001
155,0.177910089
156,0.170261209
157,0.163476779
158,0.161829525
159,0.15876042
160,0.173434799
161,0.17529132
162,0.172215621
163,0.179093906
164,0.173830203
165,0.280112223
166,0.176007473
167,0.150972671
168,0.176261472
169,0.175094576
170,0.170933795
171,0.182737236
172,0.14962115
173,0.153439888
174,0.160186822
175,0.177923549
176,0.162451331
177,0.174966851
178,0.15586486
179,0.188735101
180,0.165958969
181,0.174205063
182,0.162932391
183,0.17586076
184,0.158000361
185,0.178417059
186,0.16443571
187,0.176958304
188,0.164798969
189,0.177207578
190,0.172385907
191,0.17561525
192,0.159912422
193,0.189079705
194,0.16116528
195,0.149142387
196,0.168291337
197,0.171413331
198,0.161319815
199,0.162318207
200,0.1717514
201,0.170725718
202,0.180565738
203,0.171662671
204,0.164081362
205,0.177731877
206,0.158341507
207,0.09018289932
208,0.175616959
209,0.169362322
210,0.169638827
211,0.183542525
212,0.167848936
213,0.178475299
214,0.160100946
215,0.173521975
216,0.162434893
217,0.176921698
218,0.171752194
219,0.167999221
220,0.180841596
221,0.189126881
222,0.173475327
223,0.16689496
224,0.152248543
225,0.17270942
226,0.161359201
227,0.168961811
228,0.182250723
229,0.160478703
230,0.181828888
231,0.185263121
232,0.156168033
233,0.183296094
234,0.15066161
235,0.167738466
236,0.154196194
237,0.171027027
238,0.153832129
239,0.174756695
240,0.180009048
241,0.148655644
242,0.166892328
243,0.157541977
244,0.158715359
245,0.175632407
246,0.174642401
247,0.181973713
248,0.171267035
249,0.158831524
250,0.172768362
251,0.169207688
252,0.169974262
253,0.160929582
254,0.158315122
255,0.17460457
256,0.172536665
257,0.188144136
258,0.173332167
259,0.183606115
260,0.16677084
261,0.174197664
262,0.167102115
263,0.177190062
264,0.165898402
265,0.173894977
266,0.177329557
267,0.164351171
268,0.17456014
269,0.164426497
270,0.162705763
271,0.174758216
272,0.164484668
273,0.175184422
274,0.169807933
275,0.1728125
276,0.154448891
277,0.168925933
278,0.155867357
279,0.172251463
280,0.171631055
281,0.157115212
282,0.16204629
283,0.166052587
284,0.169482594
285,0.166321941
286,0.179113246
287,0.164253665
288,0.176092474
289,0.16979429
290,0.175060801
291,0.177276698
292,0.17056427
293,0.172128208
294,0.157101745
295,0.170806234
296,0.171439854
297,0.185449215
298,0.166850219
299,0.164753578
300,0.165486226
301,0.170718136
302,0.182089243
303,0.178705132
304,0.165546865
305,0.153904089
306,0.174038187
